tipo,marca,preco,peso,unidade
Batata Bolinha,mercado,7.99,2,kg
Batata Monaliza Lavada,mercado,5.75,1,kg
Cenoura,mercado,12.19,1,kg
Maionese,Arisco,39.90,500,g
Maionese,Hellmann's,18.95,1,kg
