tipo,marca,preco,peso,unidade
Cebola Nacional,mercado,19.99,5,kg
Cebola Miúda,mercado,9.90,2,kg
Pimentão Verde,mercado,17.29,200,g
Pimentão Vermelho,mercado,33.00,250,g
Alho a Granel,mercado,13.90,75,g
Alho Fratelli,Fratelli,6.89,200,g
Tomate Salada,mercado,9.90,170,g
